시군명,기준년월,월별충전액,월별사용액,인센티브율(%)
광주시,2021-10,11401084000.0,11243615000.0,10
광주시,2021-09,10126964000.0,5701684000.0,10
광주시,2021-08,3286541000.0,7362388000.0,10
광주시,2021-07,12575101000.0,16722127000.0,10
광주시,2021-06,25219165000.0,19994994000.0,10
광주시,2021-05,13952947000.0,12094888000.0,10
광주시,2021-04,13321049000.0,12608204000.0,10
광주시,2021-03,10873672000.0,11600204000.0,10
광주시,2021-02,9002159000.0,7854216000.0,10
광주시,2021-01,9606261000.0,10282394000.0,10
광주시,2020-12,11846680000.0,10765924000.0,10
광주시,2020-11,10205139000.0,9821290000.0,10
광주시,2020-10,9149383000.0,9420328000.0,10
광주시,2020-09,10053666000.0,9593202000.0,10
광주시,2020-08,6723209000.0,7705561000.0,10
광주시,2020-07,8568562000.0,7997727000.0,10
광주시,2020-06,6643099000.0,5646692000.0,10
광주시,2020-05,5864519000.0,4777641000.0,10
광주시,2020-04,4030085000.0,3044231000.0,10
광주시,2020-03,3417305000.0,2522458000.0,10
광주시,2020-02,1412908000.0,1904151000.0,10
광주시,2020-01,2554825000.0,2128133000.0,10
광주시,2019-12,2185166000.0,1840286000.0,6
광주시,2019-11,1568215000.0,1640547000.0,6
광주시,2019-10,1897470000.0,1232005000.0,6
광주시,2019-09,720675000.0,611891000.0,6
광주시,2019-08,378842000.0,656843000.0,6
광주시,2019-07,1067973000.0,619798000.0,6
광주시,2019-06,388335000.0,455882000.0,6
광주시,2019-05,1140948000.0,486051000.0,6
광주시,2019-04,79277000.0,13738000.0,6
광주시,2019-03,,,6
광주시,2019-02,,,6
광주시,2019-01,,,6
구리시,2022-12,10746181000.0,9173429000.0,10
구리시,2022-11,7349505000.0,7993386000.0,10
구리시,2022-10,11050035000.0,9052380000.0,10
구리시,2022-09,8997902000.0,9197502000.0,10
구리시,2022-08,8844765000.0,9520767000.0,10
구리시,2022-07,11761550000.0,9922295000.0,10
구리시,2022-06,7967732000.0,9326824000.0,10
구리시,2022-05,11306436000.0,13181766000.0,10
구리시,2022-04,13383565000.0,8548897000.0,10
구리시,2022-03,7202305000.0,7009119000.0,10
구리시,2022-02,5999522000.0,5913761000.0,10
구리시,2022-01,6643119000.0,6765550000.0,10
구리시,2021-12,6068617000.0,6314405000.0,10
구리시,2021-11,5901641000.0,5585155000.0,10
구리시,2021-10,4517658000.0,4627286000.0,10
구리시,2021-09,4762418000.0,4919910000.0,10
구리시,2021-08,6673806000.0,6543724000.0,10
구리시,2021-07,6097954000.0,6556601000.0,10
구리시,2021-06,7591188000.0,7058404000.0,10
구리시,2021-05,6075208000.0,6135291000.0,10
구리시,2021-04,6309657000.0,5790076000.0,10
구리시,2021-03,4916099000.0,5274752000.0,10
구리시,2021-02,4062873000.0,3846032000.0,10
구리시,2021-01,4255590000.0,4877310000.0,10
구리시,2020-12,5865095000.0,4754559000.0,10
구리시,2020-11,4824203000.0,4743637000.0,10
구리시,2020-10,4340830000.0,4873221000.0,10
구리시,2020-09,4636510000.0,4728126000.0,10
구리시,2020-08,3169232000.0,3885413000.0,10
구리시,2020-07,4307178000.0,3925072000.0,10
