조회년도,시군구명,조사시기(회차),병해충명(수치설명),값
2014,영광군,8,흰잎마름병(피해율),0.86
2014,영광군,8,흰잎마름병(피해율),0.86
2014,영광군,8,흰잎마름병(피해율),0.86
2014,영암군,8,깨씨무늬병(피해율),0.0
2014,영암군,8,깨씨무늬병(피해율),0.0
2014,영암군,8,깨씨무늬병(피해율),0.0
2014,영암군,8,먹노린재(피해율),0.14
2014,영암군,8,먹노린재(피해율),0.14
2014,영암군,8,먹노린재(피해율),0.14
2014,영암군,8,벼멸구(피해율),0.0
2014,영암군,8,벼멸구(피해율),0.0
2014,영암군,8,벼멸구(피해율),0.0
2014,영암군,8,세균벼알마름병(피해율),0.0
2014,영암군,8,세균벼알마름병(피해율),0.0
2014,영암군,8,세균벼알마름병(피해율),0.0
2014,영암군,8,이삭도열병(피해율),0.25
2014,영암군,8,이삭도열병(피해율),0.25
2014,영암군,8,이삭도열병(피해율),0.25
2014,영암군,8,혹명나방(피해율),0.02
2014,영암군,8,혹명나방(피해율),0.02
2014,영암군,8,혹명나방(피해율),0.02
2014,영암군,8,흰등멸구(피해율),0.16
2014,영암군,8,흰등멸구(피해율),0.16
2014,영암군,8,흰등멸구(피해율),0.16
2014,영암군,8,흰잎마름병(피해율),0.5
2014,영암군,8,흰잎마름병(피해율),0.5
2014,영암군,8,흰잎마름병(피해율),0.5
2014,완도군,8,깨씨무늬병(피해율),7.86
2014,완도군,8,깨씨무늬병(피해율),7.86
2014,완도군,8,깨씨무늬병(피해율),7.86
2014,완도군,8,먹노린재(피해율),0.14
2014,완도군,8,먹노린재(피해율),0.14
2014,완도군,8,먹노린재(피해율),0.14
2014,완도군,8,벼멸구(피해율),
2014,완도군,8,벼멸구(피해율),
2014,완도군,8,벼멸구(피해율),
2014,완도군,8,세균벼알마름병(피해율),
2014,완도군,8,세균벼알마름병(피해율),
2014,완도군,8,세균벼알마름병(피해율),
2014,완도군,8,이삭도열병(피해율),0.18
2014,완도군,8,이삭도열병(피해율),0.18
2014,완도군,8,이삭도열병(피해율),0.18
2014,완도군,8,혹명나방(피해율),
2014,완도군,8,혹명나방(피해율),
2014,완도군,8,혹명나방(피해율),
2014,완도군,8,흰등멸구(피해율),
2014,완도군,8,흰등멸구(피해율),
2014,완도군,8,흰등멸구(피해율),
2014,완도군,8,흰잎마름병(피해율),
2014,완도군,8,흰잎마름병(피해율),
2014,완도군,8,흰잎마름병(피해율),
2014,장성군,8,깨씨무늬병(피해율),0.0
2014,장성군,8,깨씨무늬병(피해율),0.0
2014,장성군,8,깨씨무늬병(피해율),0.0
2014,장성군,8,먹노린재(피해율),0.0
2014,장성군,8,먹노린재(피해율),0.0
2014,장성군,8,먹노린재(피해율),0.0
2014,장성군,8,벼멸구(피해율),0.0
2014,장성군,8,벼멸구(피해율),0.0
2014,장성군,8,벼멸구(피해율),0.0
2014,장성군,8,세균벼알마름병(피해율),0.02
2014,장성군,8,세균벼알마름병(피해율),0.02
2014,장성군,8,세균벼알마름병(피해율),0.02
2014,장성군,8,이삭도열병(피해율),0.01
2014,장성군,8,이삭도열병(피해율),0.01
2014,장성군,8,이삭도열병(피해율),0.01
2014,장성군,8,혹명나방(피해율),0.0
2014,장성군,8,혹명나방(피해율),0.0
2014,장성군,8,혹명나방(피해율),0.0
2014,장성군,8,흰등멸구(피해율),0.0
2014,장성군,8,흰등멸구(피해율),0.0
2014,장성군,8,흰등멸구(피해율),0.0
2014,장성군,8,흰잎마름병(피해율),0.03
2014,장성군,8,흰잎마름병(피해율),0.03
2014,장성군,8,흰잎마름병(피해율),0.03
2014,장흥군,8,깨씨무늬병(피해율),0.0
2014,장흥군,8,깨씨무늬병(피해율),0.0
2014,장흥군,8,깨씨무늬병(피해율),0.0
2014,장흥군,8,먹노린재(피해율),0.05
2014,장흥군,8,먹노린재(피해율),0.05
2014,장흥군,8,먹노린재(피해율),0.05
2014,장흥군,8,벼멸구(피해율),0.0
2014,장흥군,8,벼멸구(피해율),0.0
2014,장흥군,8,벼멸구(피해율),0.0
2014,장흥군,8,세균벼알마름병(피해율),0.0
2014,장흥군,8,세균벼알마름병(피해율),0.0
2014,장흥군,8,세균벼알마름병(피해율),0.0
2014,장흥군,8,이삭도열병(피해율),0.19
2014,장흥군,8,이삭도열병(피해율),0.19
2014,장흥군,8,이삭도열병(피해율),0.19
2014,장흥군,8,혹명나방(피해율),0.0
2014,장흥군,8,혹명나방(피해율),0.0
2014,장흥군,8,혹명나방(피해율),0.0
2014,장흥군,8,흰등멸구(피해율),0.0
2014,장흥군,8,흰등멸구(피해율),0.0
2014,장흥군,8,흰등멸구(피해율),0.0
2014,장흥군,8,흰잎마름병(피해율),0.36
2014,장흥군,8,흰잎마름병(피해율),0.36
2014,장흥군,8,흰잎마름병(피해율),0.36
2014,진도군,8,깨씨무늬병(피해율),3.16
2014,진도군,8,깨씨무늬병(피해율),3.16
2014,진도군,8,깨씨무늬병(피해율),3.16
2014,진도군,8,먹노린재(피해율),0.0
2014,진도군,8,먹노린재(피해율),0.0
2014,진도군,8,먹노린재(피해율),0.0
2014,진도군,8,벼멸구(피해율),0.0
2014,진도군,8,벼멸구(피해율),0.0
2014,진도군,8,벼멸구(피해율),0.0
2014,진도군,8,세균벼알마름병(피해율),0.0
2014,진도군,8,세균벼알마름병(피해율),0.0
2014,진도군,8,세균벼알마름병(피해율),0.0
2014,진도군,8,이삭도열병(피해율),0.39
2014,진도군,8,이삭도열병(피해율),0.39
2014,진도군,8,이삭도열병(피해율),0.39
2014,진도군,8,혹명나방(피해율),0.0
2014,진도군,8,혹명나방(피해율),0.0
2014,진도군,8,혹명나방(피해율),0.0
2014,진도군,8,흰등멸구(피해율),0.53
2014,진도군,8,흰등멸구(피해율),0.53
2014,진도군,8,흰등멸구(피해율),0.53
2014,진도군,8,흰잎마름병(피해율),0.0
2014,진도군,8,흰잎마름병(피해율),0.0
2014,진도군,8,흰잎마름병(피해율),0.0
2014,함평군,8,깨씨무늬병(피해율),0.0
2014,함평군,8,깨씨무늬병(피해율),0.0
2014,함평군,8,깨씨무늬병(피해율),0.0
2014,함평군,8,먹노린재(피해율),0.0
2014,함평군,8,먹노린재(피해율),0.0
2014,함평군,8,먹노린재(피해율),0.0
2014,함평군,8,벼멸구(피해율),0.0
2014,함평군,8,벼멸구(피해율),0.0
2014,함평군,8,벼멸구(피해율),0.0
2014,함평군,8,세균벼알마름병(피해율),0.0
2014,함평군,8,세균벼알마름병(피해율),0.0
2014,함평군,8,세균벼알마름병(피해율),0.0
2014,함평군,8,이삭도열병(피해율),0.035
2014,함평군,8,이삭도열병(피해율),0.035
2014,함평군,8,이삭도열병(피해율),0.035
2014,함평군,8,혹명나방(피해율),0.0
2014,함평군,8,혹명나방(피해율),0.0
2014,함평군,8,혹명나방(피해율),0.0
2014,함평군,8,흰등멸구(피해율),0.0
2014,함평군,8,흰등멸구(피해율),0.0
2014,함평군,8,흰등멸구(피해율),0.0
2014,함평군,8,흰잎마름병(피해율),0.028
2014,함평군,8,흰잎마름병(피해율),0.028
2014,함평군,8,흰잎마름병(피해율),0.028
2014,해남군,8,깨씨무늬병(피해율),0.0
2014,해남군,8,깨씨무늬병(피해율),0.0
2014,해남군,8,깨씨무늬병(피해율),0.0
2014,해남군,8,먹노린재(피해율),0.0
2014,해남군,8,먹노린재(피해율),0.0
2014,해남군,8,먹노린재(피해율),0.0
2014,해남군,8,벼멸구(피해율),0.0
2014,해남군,8,벼멸구(피해율),0.0
2014,해남군,8,벼멸구(피해율),0.0
2014,해남군,8,세균벼알마름병(피해율),0.0
2014,해남군,8,세균벼알마름병(피해율),0.0
2014,해남군,8,세균벼알마름병(피해율),0.0
2014,해남군,8,이삭도열병(피해율),1.72
2014,해남군,8,이삭도열병(피해율),1.72
2014,해남군,8,이삭도열병(피해율),1.72
2014,해남군,8,혹명나방(피해율),0.0
2014,해남군,8,혹명나방(피해율),0.0
2014,해남군,8,혹명나방(피해율),0.0
2014,해남군,8,흰등멸구(피해율),0.0
2014,해남군,8,흰등멸구(피해율),0.0
2014,해남군,8,흰등멸구(피해율),0.0
2014,해남군,8,흰잎마름병(피해율),0.1
2014,해남군,8,흰잎마름병(피해율),0.1
2014,해남군,8,흰잎마름병(피해율),0.1
2014,화순군,8,깨씨무늬병(피해율),0.0
2014,화순군,8,깨씨무늬병(피해율),0.0
2014,화순군,8,깨씨무늬병(피해율),0.0
2014,화순군,8,먹노린재(피해율),1.63
2014,화순군,8,먹노린재(피해율),1.63
2014,화순군,8,먹노린재(피해율),1.63
2014,화순군,8,벼멸구(피해율),0.0
2014,화순군,8,벼멸구(피해율),0.0
2014,화순군,8,벼멸구(피해율),0.0
2014,화순군,8,세균벼알마름병(피해율),0.0
2014,화순군,8,세균벼알마름병(피해율),0.0
2014,화순군,8,세균벼알마름병(피해율),0.0
2014,화순군,8,이삭도열병(피해율),0.0
2014,화순군,8,이삭도열병(피해율),0.0
2014,화순군,8,이삭도열병(피해율),0.0
2014,화순군,8,혹명나방(피해율),0.0
2014,화순군,8,혹명나방(피해율),0.0
2014,화순군,8,혹명나방(피해율),0.0
2014,화순군,8,흰등멸구(피해율),0.0
2014,화순군,8,흰등멸구(피해율),0.0
2014,화순군,8,흰등멸구(피해율),0.0
2014,화순군,8,흰잎마름병(피해율),0.0
2014,화순군,8,흰잎마름병(피해율),0.0
2014,화순군,8,흰잎마름병(피해율),0.0
2015,강진군,2,깨씨무늬병(피해율),0.0
2015,강진군,2,깨씨무늬병(피해율),0.0
2015,강진군,2,깨씨무늬병(피해율),0.0
2015,강진군,2,끝동매미충(피해율),0.0
2015,강진군,2,끝동매미충(피해율),0.0
2015,강진군,2,끝동매미충(피해율),0.0
2015,강진군,2,먹노린재(피해율),0.0
2015,강진군,2,먹노린재(피해율),0.0
2015,강진군,2,먹노린재(피해율),0.0
2015,강진군,2,멸강나방(피해율),0.0
2015,강진군,2,멸강나방(피해율),0.0
2015,강진군,2,멸강나방(피해율),0.0
2015,강진군,2,벼멸구(피해율),0.0
2015,강진군,2,벼멸구(피해율),0.0
2015,강진군,2,벼멸구(피해율),0.0
2015,강진군,2,벼물바구미(피해율),0.0
2015,강진군,2,벼물바구미(피해율),0.0
2015,강진군,2,벼물바구미(피해율),0.0
2015,강진군,2,벼애잎굴파리(피해율),0.0
2015,강진군,2,벼애잎굴파리(피해율),0.0
2015,강진군,2,벼애잎굴파리(피해율),0.0
2015,강진군,2,벼잎벌레(피해율),0.0
2015,강진군,2,벼잎벌레(피해율),0.0
2015,강진군,2,벼잎벌레(피해율),0.0
2015,강진군,2,벼줄기굴파리(피해율),0.0
2015,강진군,2,벼줄기굴파리(피해율),0.0
2015,강진군,2,벼줄기굴파리(피해율),0.0
2015,강진군,2,애멸구(피해율),0.0
2015,강진군,2,애멸구(피해율),0.0
2015,강진군,2,애멸구(피해율),0.0
2015,강진군,2,이화명나방1화기(피해율),0.0
2015,강진군,2,이화명나방1화기(피해율),0.0
2015,강진군,2,이화명나방1화기(피해율),0.0
2015,강진군,2,잎도열병(피해율),0.0
2015,강진군,2,잎도열병(피해율),0.0
