분류명,데이터값,분류값ID(코드),수록주기,단위영문명,항목ID,통계표ID,항목명,통계표명,수록시점,최종수정일,분류값영문,분류값명,단위명,항목영문명,기관코드,분류영문명
시설별,0,D_02,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Silver Hall,경로당,명,Fixed Number of Entry,117,By Facility
시설별,1240,D_03,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Class For The Aged,노인교실,개소,Number of Facilities,117,By Facility
시설별,1225,D_03,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Class For The Aged,노인교실,개소,Number of Facilities,117,By Facility
시설별,1221,D_03,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Class For The Aged,노인교실,개소,Number of Facilities,117,By Facility
시설별,0,D_03,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-06-30,Class For The Aged,노인교실,명,Fixed Number of Entry,117,By Facility
시설별,0,D_03,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Class For The Aged,노인교실,명,Fixed Number of Entry,117,By Facility
시설별,0,D_03,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Class For The Aged,노인교실,명,Fixed Number of Entry,117,By Facility
시설별,13272,E,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-07-12,Home Care Facility For The Aged,재가노인복지시설,개소,Number of Facilities,117,By Facility
시설별,15896,E,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Home Care Facility For The Aged,재가노인복지시설,개소,Number of Facilities,117,By Facility
시설별,18745,E,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Home Care Facility For The Aged,재가노인복지시설,개소,Number of Facilities,117,By Facility
시설별,106857,E,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Home Care Facility For The Aged,재가노인복지시설,명,Fixed Number of Entry,117,By Facility
시설별,125048,E,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Home Care Facility For The Aged,재가노인복지시설,명,Fixed Number of Entry,117,By Facility
시설별,142607,E,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Home Care Facility For The Aged,재가노인복지시설,명,Fixed Number of Entry,117,By Facility
시설별,5808,E_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Visiting Nursing Service,방문요양서비스,개소,Number of Facilities,117,By Facility
시설별,7192,E_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Visiting Nursing Service,방문요양서비스,개소,Number of Facilities,117,By Facility
시설별,8668,E_01,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Visiting Nursing Service,방문요양서비스,개소,Number of Facilities,117,By Facility
시설별,0,E_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Visiting Nursing Service,방문요양서비스,명,Fixed Number of Entry,117,By Facility
시설별,0,E_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Visiting Nursing Service,방문요양서비스,명,Fixed Number of Entry,117,By Facility
시설별,0,E_01,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Visiting Nursing Service,방문요양서비스,명,Fixed Number of Entry,117,By Facility
시설별,3035,E_02,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Day and Night Protection Service,주야간보호서비스,개소,Number of Facilities,117,By Facility
시설별,3397,E_02,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Day and Night Protection Service,주야간보호서비스,개소,Number of Facilities,117,By Facility
시설별,3790,E_02,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Day and Night Protection Service,주야간보호서비스,개소,Number of Facilities,117,By Facility
시설별,106394,E_02,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-06-30,Day and Night Protection Service,주야간보호서비스,명,Fixed Number of Entry,117,By Facility
시설별,124402,E_02,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Day and Night Protection Service,주야간보호서비스,명,Fixed Number of Entry,117,By Facility
시설별,142352,E_02,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Day and Night Protection Service,주야간보호서비스,명,Fixed Number of Entry,117,By Facility
시설별,70,E_03,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Short-Term Protection Service,단기보호서비스,개소,Number of Facilities,117,By Facility
시설별,60,E_03,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Short-Term Protection Service,단기보호서비스,개소,Number of Facilities,117,By Facility
시설별,60,E_03,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Short-Term Protection Service,단기보호서비스,개소,Number of Facilities,117,By Facility
시설별,463,E_03,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Short-Term Protection Service,단기보호서비스,명,Fixed Number of Entry,117,By Facility
