Rank,Title,Genres,Tags,Where to Watch
33,My Roommate Is a Gumiho,"Comedy, Romance, Fantasy","Calm Male Lead, Straightforward Female Lead, Cohabitation, Adapted From A Webtoon, Nine-tailed Fox, Friendship, Supernatural, Multiple Mains, Nice Male Lead, Multiple Couples (Vote tags)","Lia0215, Netflix, Park Kyung Hye in My Roommate Is a Gumiho Korean Drama, TVING, Jang Ki Yong in My Roommate Is a Gumiho Korean Drama, KdramaAngel, Fantasy, Calm Male Lead, Edit Translation, Viki, Cohabitation, Comedy, My Girlfriend Is a Gumiho, Read More, Recs, Episodes, My Roommate Is a Gumiho poster, Kangchi, the Beginning, ending of the webtoon, Add Recommendations, Age gaps in dramas, styx971, Lee Hye Ri in My Roommate Is a Gumiho Korean Drama, Kim Do Wan in My Roommate Is a Gumiho Korean Drama, Bae In Hyuk in My Roommate Is a Gumiho Korean Drama, Kdramalama, Prime Video, Reviews, Tale of the Nine-Tailed, Supernatural, Login, Feed, 2, My Roommate Is a Gumiho Korean Drama photo, Kang Han Na, Don't even have a Little SLS!!, Bae In Hyuk, Add Cast, 간 떨어지는 동거, Perfect and Casual, Discussions, Your Chinese zodiac ?, Lisa, Nine-tailed Fox, Adapted From A Webtoon, Nice Male Lead, Other reviews by this user, jjonghaos, Friendship, Multiple Couples, View all (522), Park Kyung Hye, View all (54), tae_, DavisLoret, Details, 1, Miky88, Edit this Page, Kim Do Wan, Jang Ki Yong, View all, Buy on Amazon, Write Review, Straightforward Female Lead, Lee Hye Ri, Cast, Photos, Multiple Mains, (Vote tags), Guardian: The Lonely and Great God, Doom at Your Service, Choi Bo Rim, Apple TV, Kang Han Na in My Roommate Is a Gumiho Korean Drama, Baek Sun Woo, XingBack, Register, Romance, New Topic, iQIYI, Nam Sung Woo, 224 users"
35,Marry My Husband,"Comedy, Romance, Drama, Fantasy","Time Travel, Infidelity, Revenge, Gaslighting, Betrayal, Time Altering, Betrayed By A Friend, Age Gap [Real Life], Second Chance, Butterfly Effect (Vote tags)","suchimonster, Where we all pretend to be a MMH character, worldkdramafan2025, Kang Ji Won, TVING, Shin Yoo Dam, Lee Yi Kyung, Shining for One Thing, Park Min Young in Marry My Husband Korean Drama, mahiba, What made you watch MMH?, Perfect Marriage Revenge, Song Ha Yoon, Fantasy, Na In Woo, Edit Translation, Park Min Young, Comedy, Infidelity, Read More, Recs, Episodes, Blue Orchid Blossom, FanFanX, Park Min Hwan, Revenge, Add Recommendations, Her Trajecting, View all (65), Butterfly Effect, Prime Video, Reviews, Login, Lee Gi Kwang in Marry My Husband Korean Drama, Feed, Lee Yi Kyung in Marry My Husband Korean Drama, Add Cast, Baek Eun Ho, Jung Soo Min, Betrayed By A Friend, Discussions, Gong Min Jung, fishcake, Timestamps/Spoilers, Time Travel, Kate, Second Chance, What is your favorite scence?, My Boss, 내 남편과 결혼해줘, Marry My Husband: Japan, Park In ah, Yoo Ji Hyuk, Marry My Husband ^ OST ^, Park Won Gook, Reset, Other reviews by this user, Lee Gi Kwang, Miss Jiang's Counterattack, Blossom, Gaslighting, 283 users, Details, 1, Time Altering, Age Gap [Real Life], Yang Joo Ran, Annette, Edit this Page, View all, Buy on Amazon, Write Review, MsNotes, Cast, View all (139), Marry My Husband poster, Photos, (Vote tags), Betrayal, Apple TV, Marry My Husband Korean Drama photo, Register, 4, dreamfull78, Romance, Na In Woo in Marry My Husband Korean Drama, Drama, New Topic, Song  Ha Yoon in Marry My Husband Korean Drama, We all just showed up to watch this after finishing the webtoon, Gong Min Jung in Marry My Husband Korean Drama"
37,Moving,"Action, Thriller, Mystery, Supernatural","Graphic Violence, Supernatural Power, Multiple Mains, Romance, Family Relationship, Past And Present, Mother-Son Relationship, Father-Daughter Relationship, Suspense, 1990s (Vote tags)","Moving poster, 231 users, Thriller, Graphic Violence, Ryu Seung Ryong, Father-Daughter Relationship, View all (126), Zo In Sung in Moving Korean Drama, The Atypical Family, Edit Translation, Disney+, Read More, Recs, Episodes, Kim Sung Kyun in Moving Korean Drama, Ryu Seung Ryong in Moving Korean Drama, Add Recommendations, Kang Full, Past And Present, Mother-Son Relationship, Han Hyo Joo, Reviews, Supernatural, Login, A Shop for Killers, bleu, Feed, Cha Tae Hyun in Moving Korean Drama, I Am Nobody, Frank, Add Cast, Zo In Sung, Park In Je, Ryu Seung Beom, 3, Family Relationship, Disney+ Hotstar, Discussions, Moving Korean Drama photo, The Uncanny Counter, Hulu, Kim Du Sik, Other reviews by this user, Lee Jae Man, Light Shop, Action, Cha Tae Hyun, Details, hrl, Mystery, Edit this Page, View all, Buy on Amazon, Write Review, create a discussion, Han Hyo Joo in Moving Korean Drama, The Gifted, Cast, Suspense, Photos, Multiple Mains, Psychokinesis, (Vote tags), Apple TV, Lee Mi Hyeon, Jang Ju Won, 0, Supernatural Power, Register, Moving Season 2, Romance, Ryu Seung Beom in Moving Korean Drama, 무빙, 1990s, View all (215), Kim Sung Kyun, Jeon Gye Do, New Topic"
39,Alchemy of Souls Season 2: Light and Shadow,"Action, Historical, Romance, Fantasy","Fantasy World, Smart Male Lead, Marriage Of Convenience, Birth Secret, Supernatural, Nice Male Lead, Transmigration, Antihero Male Lead, Black Magic, Amnesia (Vote tags)","Netflix, Go Youn Jung in Alchemy of Souls Season 2: Light and Shadow Korean Drama, Jang Uk, Lee Jae Wook in Alchemy of Souls Season 2: Light and Shadow Korean Drama, Alchemy of Souls Season 2: Light and Shadow Korean Drama photo, GYJ ND LJW once again in a new show which genre will you all prefer?, 390 users, haruaui, M M, Alchemy of Souls Season 2: Light and Shadow poster, Who is heo yoon ok dating?, Black Magic, Fantasy, 환혼 시즌2: 빛과 그림자, Edit Translation, Oh Na Ra, Yoo Joon Sang, Oh Na Ra in Alchemy of Souls Season 2: Light and Shadow Korean Drama, Hwang Min Hyun in Alchemy of Souls Season 2: Light and Shadow Korean Drama, Hong Mi Ran, Read More, Kim Do Ju, Lee Jae Wook, Recs, Episodes, Unresolved plot holes, Moral of the story, Birth Secret, Transmigration, ZenaidaLopez, Add Recommendations, Shin Seung Ho, Reviews, 11774507, Supernatural, Login, Seo Yul, Marriage Of Convenience, 32, Feed, Smart Male Lead, Lotus Eater, The Untamed, Add Cast, Bae Hyun Jin, 3, IM YourOnlyOne, Amnesia, Hong Jeong Eun, Antihero Male Lead, The Forbidden Marriage, Discussions, Yoo  Joon Sang in Alchemy of Souls Season 2: Light and Shadow Korean Drama, ArbazAkhtar__HOD, Go Youn Jung, Nice Male Lead, Park Jin, Other reviews by this user, (FINAL update) How can NakYeon survive?, Bulgasal: Immortal Souls, Hwang Min Hyun, Lovers of the Red Sky, Alchemy of Souls, Aramintai, Action, Details, Edit this Page, Fantasy World, View all, Buy on Amazon, Write Review, View all (607), just a girl, Cast, Historical, Naksu / Cho Yeong / Jin Bu Yeon, Photos, (Vote tags), Guardian: The Lonely and Great God, Shin Seung Ho in Alchemy of Souls Season 2: Light and Shadow Korean Drama, Does this show really deserve a 9.1 rating? Please let's give back a fair rating to MDL, Register, Romance, Go Won, Park Joon Hwa, New Topic, View all (70)"
41,Taxi Driver,"Action, Thriller, Crime, Drama","Investigation, Revenge, Taxi Driver Male Lead, Teamwork, Secret Organization, Prosecutor Female Lead, Adapted From A Webtoon, Smart Female Lead, Calm Male Lead, Based On A True Story (Vote tags)","Based On A True Story, Thriller, Netflix, Secret Organization, An Go Eun, Taxi driver broadcast, Kim Eui Sung in Taxi Driver Korean Drama, Bae Yoo Ram in Taxi Driver Korean Drama, Calm Male Lead, Kang Ha Na, Edit Translation, Viki, Smart Female Lead, Investigation, Jang Hyuk Jin, Taxi Driver Male Lead, Lee Je Hoon in Taxi Driver Korean Drama, Jang Seong Cheol, The Judge from Hell, View all (197), Read More, View all (128), Recs, Episodes, My Liberation Notes, Taxi Driver Korean Drama photo, Revenge, Add Recommendations, Taxi Driver Returns: Resumed Operation Special, The Devil Judge, Oh Sang Ho, Taxi Driver poster, 모범택시, Prime Video, Reviews, SBS World, The Player, Login, Esom, Kim Eui Sung, Kocowa, Feed, Add Cast, Vigilante, Discussions, Lee Ji Hyun, Kim Do Gi, Park Joon Woo, AnastasiaWun, Jang Hyuk Jin in Taxi Driver Korean Drama, Pyo Ye Jin in Taxi Driver Korean Drama, Prosecutor Female Lead, arri, Adapted From A Webtoon, Other reviews by this user, Vincenzo, 145 users, Crime, Action, Details, 1, Bae Yoo Ram, drama-watcher, Taxi Driver OSTs, Edit this Page, View all, Buy on Amazon, MyKLove, Write Review, Pyo Ye Jin, Taxi Driver Season 2, Cast, Photos, Teamwork, (Vote tags), The Glory, Apple TV, Register, Lee Je Hoon, Drama, Esom in Taxi Driver Korean Drama, New Topic"
43,Sh**ting Stars,"Comedy, Romance, Drama","Entertainment Industry, PR Specialist Female Lead, Multiple Mains, Actor Male Lead, Multiple Couples, Reporter Female Lead, Famous Male Lead, Company President (CEO) Supporting Character, Epilogue, Talent Manager Female Lead (Vote tags)","O Han Byeol, Netflix, Why people shouldn't decide on their hate for Tae Sang's mother as yet., Lee Soo Hyun, TVING, 221 users, Love to Hate You, Kim Young Dae, micheal1803, Talent Manager Female Lead, ENEMIES TO LOVERS FINALLY!!!, Lee Jung Shin in Sh**ting Stars Korean Drama, Edit Translation, Viki, 17, Comedy, Touch Your Heart, Read More, Her Private Life, Recs, Episodes, Reporter Female Lead, Add Recommendations, Crazy Love, Reviews, View all (322), Login, bloomingtide, 별똥별, Sh**ting Stars Korean Drama photo, PR Specialist Female Lead, Rina_a365, Do Su Hyeok, Company President (CEO) Supporting Character, Feed, Kim Young Dae in Sh**ting Stars Korean Drama, Add Cast, So I Married the Anti-Fan, The IRL stories, the show represents..., Last Empress, dndnxxxx, Discussions, Kim Yoon Hye, Epilogue, Kimwoobine, Yoon Jong Hoon, Lee Jung Shin, Park Ho Yeong, Tsumari Suki tte iitai n Dakedo,, Kang Yu Seong, Sylvie, Famous Male Lead, Other reviews by this user, Multiple Couples, WeTV, Kim Yoon Hye in Sh**ting Stars Korean Drama, Park So Jin, Actor Male Lead, View all (93), Choi Yeon Seo, Park So Jin in Sh**ting Stars Korean Drama, Kayceluvdrama, Details, 1, Conservative Torch, Edit this Page, View all, Yoon Jong Hoon in Sh**ting Stars Korean Drama, Buy on Amazon, My Secret My Everything!!!, Write Review, Entertainment Industry, Toot, Choi Yeong U, Cast, Photos, Multiple Mains, (Vote tags), Lee Sung Kyung in Sh**ting Stars Korean Drama, Apple TV, Register, Lee Sung Kyung, Romance, Kong Tae Seong, the_sapio_nerd, Drama, New Topic, iQIYI, Sh**ting Stars poster, Cho Gi Ppeum, i'm here simply for kim young dae"
45,When the Phone Rings,"Thriller, Mystery, Romance, Drama","Contract Relationship, Arranged Marriage, Enemies To Lovers, Sign Language, Hidden Identity, Kidnapping, Age Gap [Drama Life], Revenge, Rich Family, Investigation (Vote tags)","View all (577), suchimonster, Moonlight Novel's Translated version, Thriller, Netflix, Yoo Yeon Seok in When the Phone Rings Korean Drama, Jung Dong Hwan in When the Phone Rings Korean Drama, Yoo Yeon Seok, Jang Gyu Ri in When the Phone Rings Korean Drama, Love's Ambition, pen_p, Soriya D, Perfect Marriage Revenge, Enemies To Lovers, When the Phone Rings poster, View all (85), nuguseyo, vertical drama based on WTPR, Edit Translation, Sign Language, Investigation, Jang Gyu Ri, 457 users, Read More, The Trunk, Rich Family, Recs, Kidnapping, Episodes, Revenge, Add Recommendations, 지금 거신 전화는, Kim Ji Woon, Reviews, Login, Hidden Identity, Han Jae Yi in When the Phone Rings Korean Drama, Feed, Baek Sa Eon, 2, ASTER, LucyL, Wi Deuk Gyu, Add Cast, Anita2, Heo Nam Jun, Discussions, Timestamps/Spoilers, Chae Soo Bin, Flower of Evil, on the controversy - and netflix mistranslations, Age Gap [Drama Life], Contract Relationship, Other reviews by this user, Arranged Marriage, Queen of Tears, My Dangerous Wife, Chae Soo Bin in When the Phone Rings Korean Drama, Details, Mystery, Heo Nam Jun in When the Phone Rings Korean Drama, Edit this Page, Wavve, Hong Hui Ju, Novel Translation: When the phone rings, View all, Buy on Amazon, Write Review, When the Phone Rings Korean Drama photo, just a girl, Cast, Photos, (Vote tags), bidulgi, 38, Article on drama details and some spoilers (with spoiler tags), Cho Na, Jung Dong Hwan, Park Sang Woo, Han Jae Yi, Register, Romance, Drama, New Topic"
47,Death's Game,"Thriller, Drama, Fantasy","Death, Survival, Poor Male Lead, Supernatural Being, Difficult Adulthood, Graphic Violence, Reincarnation, Depressed Male Lead, Suicidal Male Lead, Desperate Male Lead (Vote tags)","Supernatural Being, Park So Dam, Survival, 134 users, Park So Dam in Death's Game Korean Drama, Death's Game Part 2, Seo In Guk in Death's Game Korean Drama, Suicidal Male Lead, Nam Kyung Eup, Recs, Episodes, Edit this Page, Discussions, LexiB97, Kim Mi Kyung, View all, Thriller, Buy on Amazon, The Beauty Inside, Write Review, Depressed Male Lead, Graphic Violence, Moving, Lee Ju Mi in Death's Game Korean Drama, Tomorrow, 이재, 곧 죽습니다, TVING, Nam Kyung Eup in Death's Game Korean Drama, Cast, Kim Mi Kyung in Death's Game Korean Drama, Add Recommendations, Death, Photos, Go Youn Jung, (Vote tags), Desperate Male Lead, Perfect Marriage Revenge, ibra, Ha Byung Hoon, Prime Video, Reviews, View all (52), Cho Na, Other reviews by this user, 0, Login, Death's Game poster, Fantasy, Death's Game Korean Drama photo, The Twelve Reincarnations of Choi Yi Jae, Register, 4, Edit Translation, Feed, Seo In Guk, Poor Male Lead, Reincarnation, Drama, Difficult Adulthood, Go Youn Jung in Death's Game Korean Drama, View all (902), New Topic, Lee Ju Mi, Add Cast, Along with the Gods: The Two Worlds, Details"
49,Mouse,"Thriller, Mystery, Psychological","Murder, Investigation, Character Development, Dark Fiction, Suspense, Flashback To Past, Grandma-Granddaughter Relationship, Death, School Bullying (Vote tags) (show hidden tags)","Thriller, Dark Fiction, Lee Hee Joon in Mouse Korean Drama, Roku, TVING, HOWTO: The correct viewing order, Psychological, Death, First Impressions..., pyo mei, Ko Mu Chi, Gyeong Su Jin, View all (214), Murder, Ahn Jae Wook in Mouse Korean Drama, O Bong I, *spoilers* Nonsense or really far-fetched coincidences, Edit Translation, Viki, nick, Investigation, Choi Hong Ju, Read More, Recs, Episodes, Woo Ji Hyun in Mouse Korean Drama, Wndering Dragon, The King of Pigs, Add Recommendations, Gyeong Su Jin in Mouse Korean Drama, luckz, Mouse: The Theatrical Cut, Prime Video, Reviews, 260 users, Login, Beyond Evil, monfernova, Feed, Add Cast, Kang Cheol Woo, Mouse poster, Park Ju Hyun in Mouse Korean Drama, Lee Seung Gi, Mouse: Restart, Discussions, Gouri S, Will I still enjoy this if it has been spoiled for me?, One Ordinary Day, Flower of Evil, View all (176), Mouse: The Last, Mouse: The Predator, Tubi, Other reviews by this user, Choi Ran, WeTV, Blind, lemony, School Bullying, *Spoiler* Theory on how many psychopaths there are, Grandma-Granddaughter Relationship, Flashback To Past, Details, 1, Mystery, Edit this Page, Choi Joon Bae, BarbikaBored, View all, Buy on Amazon, Write Review, Park Ju Hyun, Lee Seung Gi in Mouse Korean Drama, boban11, 마우스, Hee-Jin, Cast, Suspense, Photos, (Vote tags), *spoilers* Open questions / unresolved matters, Lee Hee Joon, Mouse Korean Drama photo, Apple TV, Character Development, 0, Jung Ba Reum, Register, Woo Ji Hyun, Mouse, Ahn Jae Wook, Psychopath Diary, New Topic, iQIYI"
51,Squid Game Season 2,"Action, Thriller, Mystery, Drama","Death Game, Survival, Competition, Graphic Violence, Death, Suspense, Game, Transgender Female Lead, Social Commentary, Black Comedy (Vote tags)","21, Read More, Survival, Squid Game, Kang Ha Neul, Mystery, niaoniao, Black Comedy, inmyrare, Lee Byung Hun, Hwang Dong Hyuk, Recs, Game, Episodes, Edit this Page, Discussions, View all, Thriller, Buy on Amazon, Netflix, Kang Ha Neul in Squid Game Season 2 Korean Drama, Park Gyu Young in Squid Game Season 2 Korean Drama, Graphic Violence, Write Review, create a discussion, Wi Ha Joon in Squid Game Season 2 Korean Drama, View all (122), Yim Si Wan, 189 users, Park Gyu Young, Add Recommendations, Cast, View all (112), Death, Suspense, Photos, Alice in Borderland Season 3, (Vote tags), Lee Byung Hun in Squid Game Season 2 Korean Drama, Money Heist: Korea - Joint Economic Area - Part 2, Squid Game Season 3, Yim Si Wan in Squid Game Season 2 Korean Drama, Reviews, 오징어게임 시즌2, Social Commentary, Other reviews by this user, Wi Ha Joon, The 8 Show, Lee Jung Jae in Squid Game Season 2 Korean Drama, Login, Lee Myeong Gi / ""No. 333"", Register, Kang Dae Ho / ""No. 388"", Edit Translation, Squid Game Season 2 poster, Death Game, Alice in Borderland, Feed, Competition, Transgender Female Lead, Action, Drama, Squid Game Season 2 Korean Drama photo, Hwang In Ho, Lee Jung Jae, New Topic, Add Cast, Details, Seong Gi Hun / ""No. 456"", Cube"
53,Welcome to Samdal-ri,"Comedy, Romance, Life, Drama","Healing, Return To Hometown, Friendship, Childhood Sweethearts, Sisters' Relationship, Meet Again, Town Setting, Weather Forecaster Male Lead, Photographer Female Lead, Childhood Friends' Relationship (Vote tags)","Kwon Hye Joo, Our Beloved Summer, Weather Forecaster Male Lead, vulpinekl, Kim Mi Kyung, What for low ratings, negative reviews. Is this drama really bad ???, Netflix, Sisters' Relationship, Healing, Shin Dong Mi in Welcome to Samdal-ri Korean Drama, Drama ended, what's your thoughts !!!, Cho Jin Dal, Edit Translation, Comedy, Shin Dong Mi, What is your favoroite lines?, Read More, Leesia, Kang Mi Na, Cho Pan Sik, Recs, Episodes, Cha Young Hoon, Cho Sam Dal / Cho Eun Hye, people in their 40's, single, no child, Add Recommendations, dboy, Photographer Female Lead, Shin_da_som, Reviews, Return To Hometown, Meet Again, Login, Life, Cho Hae Dal, The best drama in every aspect.., Feed, 2, Hometown Cha-Cha-Cha, Cho Yong Pil, When Life Gives You Tangerines, Add Cast, Kang Mi Na in Welcome to Samdal-ri Korean Drama, Shin Hae Sun, Seo Hyun Chul, Kim Mi Kyung in Welcome to Samdal-ri Korean Drama, Discussions, Love Next Door, Childhood Friends' Relationship, Summer Strike, Welcome to Samdal-ri poster, Ko Mi Ja, 웰컴투 삼달리, Other reviews by this user, Friendship, JulySnow2, Childhood Sweethearts, Shin Hae Sun in Welcome to Samdal-ri Korean Drama, Details, 1, View all (124), Shinnosuke_Lee, Edit this Page, 230 users, deidra, Ji Chang Wook, View all, Buy on Amazon, Write Review, Seo Hyun Chul in Welcome to Samdal-ri Korean Drama, View all (131), bokminthe, Town Setting, What was the reason you started watching ""Welcome to Samdal"", Cast, Will Love in Spring, Photos, Welcome to Samdal-ri Korean Drama photo, (Vote tags), Register, Erika Bell, dreamfull78, Romance, Drama, New Topic, Ji Chang Wook in Welcome to Samdal-ri Korean Drama"
55,Big Mouth,"Thriller, Mystery, Law, Drama","Suspense, Death, Investigation, Lawyer Male Lead, Brave Female Lead, Murder, Prison Setting, Wrongfully Accused, Conspiracy, Mistaken Identity (Vote tags)","Jang Young Chul, Oh Choong Hwan, Brave Female Lead, Insider, Lim Yoon A, Thriller, Law, Meng Po, Lawyer Male Lead, Lee Jong Suk in Big Mouth Korean Drama, Death, Kwak Dong Yeon, 빅마우스, 50kg, View all (127), If Jerry is the Big Mouse, then who is Tom?, Murder, Ok Ja Yeon, Edit Translation, Disney+, Pinoy Ares, Investigation, 14, Mistaken Identity, Read More, Recs, Episodes, Kim Joo Heon, Hyun Ju Hui, Kim Joo Heon in Big Mouth Korean Drama, Big Mouth Korean Drama photo, Jerry, Add Recommendations, Let the speculations begin!, Lee Jong Suk, l4verina, Jung Kyung Soon, Reviews, Login, Yang Kyung Won in Big Mouth Korean Drama, Prison Setting, Feed, Kwak Dong Yeon in Big Mouth Korean Drama, Big Mouth Theories Carrd Website, Add Cast, Bae Hyun Jin, IM YourOnlyOne, Disney+ Hotstar, 7, Discussions, Conspiracy, Hulu, One Ordinary Day, Flower of Evil, Other reviews by this user, Vincenzo, Park Chang Ho, 161 users, Kong Ji Hun, Details, Mystery, Edit this Page, Wavve, Choi Do Ha, View all, Buy on Amazon, Write Review, Cast, Suspense, Yang Kyung Won, Photos, Doctor Prisoner, (Vote tags), Wrongfully Accused, Lim Yoon A in Big Mouth Korean Drama, Apple TV, Ko Mi Ho, Register, Big Mouth poster, Mouse, View all (215), Drama, New Topic, Ok Ja Yeon in Big Mouth Korean Drama"
57,See You in My 19th Life,"Comedy, Romance, Drama, Fantasy","Reincarnation, Past Life, Trauma, Death, Adapted From A Webtoon, Childhood Friends' Relationship, First Love, Flashback To Past, Competent Female Lead, Straightforward Female Lead (Vote tags)","Trauma, 이번 생도 잘 부탁해, Netflix, Alchemy of Souls Season 2: Light and Shadow, Past Life, Monicac25, TVING, sunshine, Death, Park So Yi in See You in My 19th Life Korean Drama, Yoon Cho Won, Ahn Bo Hyun in See You in My 19th Life Korean Drama, Fantasy, Rahul Kumar 25, Moon Seo Ha, Edit Translation, Reincarnation, DJE, View all (53), Comedy, Favorite Scene(s) you rewatched more than once, Read More, Cykodramaqueen, Jay, Recs, Episodes, Madaleny, Ahn Dong Goo in See You in My 19th Life Korean Drama, To All the Guys Who Loved Me, mixao, Add Recommendations, Official Sound Track (OST), See You in My 19th Life poster, Reviews, Destined with You, Ban Ji Eum, Login, Ha Yoon Kyung, Feed, 2, See You in My 19th Life Korean Drama photo, Hotel del Luna, Add Cast, Shin Hae Sun, Shaneal211, Discussions, Park So Yi, Lee Na Jung, Their Ages and Age Gaps, Competent Female Lead, Childhood Friends' Relationship, Ahn Dong Goo, Adapted From A Webtoon, Other reviews by this user, Ha Do Yoon, SkyLivesForDrama, 229 users, Shin Hae Sun in See You in My 19th Life Korean Drama, Flashback To Past, Details, Edit this Page, View all, Buy on Amazon, The Beauty Inside, Han Ah Reum, Write Review, COMPLETE WEBTOON WITHOUT SUSCRIPTION-ENJOY, Ha Yoon Kyung in See You in My 19th Life Korean Drama, Does she get reborn as a baby or is she just transferring bodies at random ages when reincarnating?, Official webtoon link, Straightforward Female Lead, KJCTdramafan, Kim Shi Ah, just a girl, Cast, Photos, Kim Shi Ah in See You in My 19th Life Korean Drama, (Vote tags), Choi Young Rim, 0, First Love, Register, Romance, Drama, View all (152), New Topic, Ahn Bo Hyun"
59,The Trauma Code: Heroes on Call,"Action, Comedy, Drama, Medical","Surgeon Male Lead, Hospital Setting, Mentor-Mentee Relationship, Competent Male Lead, Rescue Team, Teamwork, Hardworking Male Lead, Co-workers' Relationship, Doctor Male Lead, Workplace Setting (Vote tags)","Hardworking Male Lead, 중증외상센터, Netflix, Workplace Setting, Rescue Team, Choi Tae Gang, Choi Jo Eun, Co-workers' Relationship, Who is the friend to Yang Jae Won (Choo Young Woo ) eat candy, Edit Translation, Jung Jae Kwang in The Trauma Code: Heroes on Call Korean Drama, Kim Eui Sung in The Trauma Code: Heroes on Call Korean Drama, 222 users, The Trauma Code: Heroes on Call poster, Surgeon Male Lead, Comedy, Read More, Partners for Justice, Park Gyeong Won, Recs, Hospital Setting, Episodes, Cheon Jang Mi, Cora, Mentor-Mentee Relationship, Add Recommendations, Lee Do Yoon, The First Responders, Reviews, Jung Jae Kwang, Login, Noctis, Dr. Romantic Season 3, Code Blue, Kim Eui Sung, Feed, 2, tessby, Add Cast, Choo Young Woo, Yuichin, 7, Discussions, Doctor Male Lead, may, Yoon Kyung Ho, Yoon Kyung Ho in The Trauma Code: Heroes on Call Korean Drama, The Trauma Code: Heroes on Call Korean Drama photo, View all (52), Other reviews by this user, Dr. Romantic, Action, Choo Young Woo in The Trauma Code: Heroes on Call Korean Drama, Details, 9993633, Han Yu Rim, Edit this Page, View all, Buy on Amazon, Write Review, Competent Male Lead, Ju Ji Hoon, Ha Young, Cast, Photos, Teamwork, (Vote tags), Baek Gang Hyeok, Medical, Ha Young in The Trauma Code: Heroes on Call Korean Drama, Ghost Doctor, Register, Doctor Baek is based on a real life doctor, Lee Guk-Jong!, View all (49), Ju Ji Hoon in The Trauma Code: Heroes on Call Korean Drama, Drama, New Topic, Yang Jae Won"
